sample_plot_id,longitude,latitude,起源,郁闭度,林分密度（株每公顷）,平均树高（米）,平均胸径（厘米）,龄组,tree_species_composition,tip1,tip2
43-433163-N-00602,111.46737789063589,28.066507899918207,人天混,0.7,855,10,12.6,近熟林,5马尾松 3其它软阔类 1柏木 1棕榈,针阔混交林,针叶针阔混交林
43-423131-Y-03281,111.00031144384408,27.652887783099604,人工,0.8,1845,12.2,11.8,近熟林,8杉木 2马尾松,针叶林,杉木林
43-423122-Y-02751,111.65134619650968,28.011854469839008,人工,0.7,825,12,23.3,近熟林,8马尾松 1杉木 1枫香,针叶林,马尾松林
43-423122-Y-02804,111.36623231508162,27.976995136605147,人工,0.85,1545,15.7,17.7,近熟林,10马尾松,针叶林,马尾松林
43-412166-Y-03019,111.12210440573755,27.833426371922087,天然,0.8,3480,14,9,壮龄竹,10毛竹 ,竹、灌,竹、灌
43-413262-N-00695,111.10085918903751,27.74240951313736,天然,0.65,1905,11.5,10,近熟林,4其它软阔类3杉木1檵木1其它硬阔类 1盐肤木,针阔混交林,针叶针阔混交林
43-422180-N-00538,111.30502523899005,28.211339538053153,人工,0.85,2160,8,9.9,中龄林,9厚朴 1杉木,阔叶林,其他难燃阔叶林
43-422161-Y-02632,111.24470770489677,28.0855490139502,人工,0.8,2610,10.1,9.9,中龄林,4柏木 3马尾松 2杉木 1其它硬阔类,针阔混交林,针叶针阔混交林
43-422135-Y-02633,111.32605233718148,28.085154239462167,人工,0.8,1530,11.7,14.1,中龄林,10柏木,针叶林,柏木林
43-432262-Y-03335,111.20341670336308,27.616707882132207,人天混,0.5,1155,11.2,9.7,中龄林,3杉木 3其它软阔类 2栎类 1其它硬阔类 1楝树,针阔混交林,针叶针阔混交林
43-423131-Y-03230,111.03862553746843,27.688859553012275,人工,0.8,2025,12.9,15,近熟林,7杉木 3柳杉,针叶林,杉木林
43-423131-Y-03070,110.83798873515366,27.796953285736752,人工,0.9,3795,8.7,10.9,近熟林,10杉木,针叶林,杉木林
43-422131-N-00582,111.18235,28.103285,人工,0.8,1890,8.8,11,中龄林,7杉木 3马尾松 ,针叶林,杉木林
43-424231-N-00687,111.05975661449185,27.778421996788637,人工,0.5,1050,13.5,18.3,成、过熟林,9杉木 1马尾松,针叶林,杉木林
43-422122-N-00632,111.141587,27.958561,人工,0.8,1860,10.3,12.8,中龄林,10马尾松,针叶林,马尾松林
43-424231-Y-03127,111.12251894907403,27.760913051332786,人工,0.65,1560,12.9,14.8,成、过熟林,9杉木 1樟木,针叶林,杉木林
43-421135-N-00611,111.263864,28.030773,人工,0.8,1905,11.3,10.4,幼龄林,7柏木 3马尾松,针叶林,柏木林
43-423122-Y-03233,111.28411635120626,27.68887970581396,人工,0.7,765,13.8,20.5,近熟林,7马尾松 1樟木 1杉木1檫木,针叶林,马尾松林
43-423261-Y-03782,112.2530674,27.32212016,人工,0.5,480,8.1,16,近熟林,4马4杉2阔,针叶林,马尾松林
43-422131-Y-03612,112.213988,27.430768,人工,0.7,4275,6.3,8.1,中龄林,7杉木 2其它硬阔类 1枫香,针叶林,杉木林
43-422231-N-00797,112.241817,27.366124,人工,0.65,1665,10.8,14.3,中龄林,8杉2阔,针叶林,杉木林
43-411262-Y-03450,112.170092,27.539935,天然,0.5,1200,13.1,15.9,幼龄林,6枫香 2樟木 1马尾松 1杉木 ,阔叶林,枫香林
43-422231-Y-03841,112.22143804879133,27.28957063897653,人工,0.6,1995,11.1,12.9,中龄林,10杉,针叶林,杉木林
43-432263-Y-03400,112.29677388308019,27.5742354072042,人天混,0.5,1245,10.9,11,中龄林,4杉木4阔叶2马尾松,针阔混交林,针叶针阔混交林
43-422261-Y-03723,112.21309868454142,27.358341765343223,人工,0.55,1860,9.3,12.2,中龄林,5杉3马2阔,针叶林,杉木林
43-412248-Y-03610,112.05249445841399,27.432501915604753,天然,0.5,900,16.9,15.5,中龄林,7枫香 2其他它硬阔类 1其它软阔类,阔叶林,枫香林
43-412222-N-00796,112.1918847,27.33992034,天然,0.55,2565,11.4,13.4,中龄林,9马1阔,针叶林,马尾松林
43-421131-Y-02574,111.204183,28.121067,人工,0.7,1365,8.7,10,幼龄林,9杉木 1泡桐,针叶林,杉木林
43-432263-Y-02910,111.12222,27.90528,人天混,0.55,630,11.5,13.4,中龄林,6杉木 4其它软阔类 ,针阔混交林,针叶针阔混交林
43-422231-Y-03342,111.7792477,27.61516524,人工,0.65,2310,6.07,6.9,中龄林,10杉木 ,针叶林,杉木林
43-412262-Y-03245,112.2568752,27.68298754,天然,0.6,1680,10.5,12.2,中龄林,5其它软阔类 2杉木 2枫香 1樟木 ,阔叶林,其他难燃阔叶林
43-424231-Y-03125,110.95984881053674,27.760560060465465,人工,0.6,1155,12.3,16.1,成、过熟林,10杉木,针叶林,杉木林
43-412222-N-00755,112.354811,27.483635,天然,0.6,2610,7.5,14.5,中龄林,10马尾松 ,针叶林,马尾松林
43-412141-Y-03176,110.83825467168762,27.72480079387882,天然,0.7,3090,8.3,12.4,中龄林,10栎类,阔叶林,栎类林
43-422244-Y-03345,112.009141,27.612996,人工,0.61,2010,11.3,11.3,中龄林,9樟木 1其它硬阔类,阔叶林,樟木林
43-424131-Y-03280,110.91959829178741,27.652992175910732,人工,0.7,1185,8,13.3,成、过熟林,9杉木 1栎类 ,针叶林,杉木林
43-422131-Y-02908,110.95944930793735,27.905580850496328,人工,0.7,1620,10.6,14.4,中龄林,10杉木,针叶林,杉木林
43-424131-Y-03229,110.96020680366206,27.688482541049346,人工,0.9,1425,8.2,10.8,成、过熟林,9杉木 1马尾松 ,针叶林,杉木林
43-423122-Y-02634,111.40749977580536,28.085162493216735,人工,0.85,1845,12.3,15.3,近熟林,9马尾松 1其它软阔类,针叶林,马尾松林
43-422231-Y-02743,111.0006166167926,28.013712581362142,人工,0.65,2535,7.9,8.6,中龄林,7杉木 3其它硬阔类,针叶林,杉木林
43-412163-Y-02692,111.44788508578235,28.048942518606506,天然,0.7,1050,13.8,16.1,中龄林,3其它软阔类 2马尾松 2柏木 1杉木 1棕榈1楠木,针阔混交林,针叶针阔混交林
43-410141-N-00659,110.97900200564528,27.886736977341716,天然,0.9,,3.2,2.07,幼龄林,9栎类1冬青,阔叶林,栎类林
43-410141-N-00686,110.94995072988283,27.77293196635398,天然,0.7,,4,1.97,幼龄林,8栎类2其它灌木,阔叶林,栎类林
43-412262-Y-03350,112.41937199122445,27.609515581416993,天然,0.65,1695,12,13.9,中龄林,6其它硬阔类 2栎类 1杉木 1檫木,阔叶林,其他难燃阔叶林
43-422162-Y-03302,112.70286425144627,27.642486535336502,人工,0.75,960,10.4,28.4,中龄林,6樟木 2杉木 1枣 1油茶,阔叶林,樟木林
43-422131-N-00756,112.5980290534277,27.48059522695496,人工,0.72,4815,9.8,9.1,中龄林,9杉木 1国外松 1其它软阔类,针叶林,杉木林
43-411166-Y-03564,112.82126292753276,27.460384564766173,天然,0.75,15,8.5,10.6,幼龄竹,10毛竹 ,竹、灌,竹、灌
43-411262-N-00708,113.00649288563466,27.6918111366968,天然,0.5,2430,6.53,8.2,幼龄林,5其它硬阔类 4樟木 1栎类,阔叶林,樟木林
43-411341-Y-02929,112.66606453506085,27.89522231691393,天然,0.35,1050,5.9,7.8,幼龄林,9栎类 1其它硬阔类,阔叶林,栎类林
43-411362-Y-03199,112.7039206435735,27.71449551004224,天然,0.35,675,8.4,9.2,幼龄林,6栎类 2枫香 2其它软阔类,阔叶林,栎类林
43-411362-Y-03354,112.74319209318912,27.60586174436179,天然,0.35,645,12.3,17.9,幼龄林,6樟木 3其它硬阔类 1榆树,阔叶林,樟木林
43-412144-Y-03565,112.90187000951494,27.45929798982843,天然,0.72,1095,9.8,13.7,中龄林,6樟木 2杉木 1其它硬阔类 1其它软阔类,阔叶林,樟木林
43-412166-Y-03510,112.78198413308462,27.497043610289836,天然,0.71,15,11.6,11.5,壮龄竹,10毛竹 ,竹、灌,竹、灌
43-422163-N-00652,112.68558294560592,27.91261125316538,人工,0.71,2070,6.2,9.7,中龄林,5马尾松 3国外松 2栎类,针叶林,马尾松林
43-422163-Y-03355,112.82331434696141,27.604381009378585,人工,0.75,1785,7.1,8.8,中龄林,5杉木 3其它软阔类 1檫木 1樟木,针阔混交林,针叶针阔混交林
43-422226-Y-03620,112.86114422664741,27.42380628295274,人工,0.62,1095,12.1,16.8,中龄林,8国外松 2杉木,针叶林,其他易燃针叶林
43-422247-N-00718,112.92480502838532,27.656886101945474,人工,0.55,1605,9.2,14.5,中龄林,8木荷 1楠木 1其它硬阔类 1油茶,阔叶林,其他难燃阔叶林
43-423162-N-00688,112.7239147599496,27.76779160974536,人工,0.71,1200,9.7,18.8,近熟林,4栎类 3樟木 2杉木 1其它软阔类,阔叶林,栎类林
43-423163-N-00682,112.84620250241585,27.802297455308803,人工,0.85,2640,11.5,16.4,近熟林,5国外松 4樟木 1栎类,针阔混交林,针叶针阔混交林
43-423222-N-00765,112.55706342686278,27.444969711203896,人工,0.62,2430,12.2,17.8,近熟林,8马尾松 2其它硬阔类,针叶林,马尾松林
43-423231-Y-03454,112.49935473091693,27.535636811270592,人工,0.68,1125,10.6,12.6,近熟林,10杉木,针叶林,杉木林
43-424222-Y-03457,112.74218203436021,27.532959090105578,人工,0.58,150,21.1,31.3,成、过熟林,10马尾松,针叶林,马尾松林
43-424122-Y-03508,112.6194567151025,27.498407785716324,人工,0.72,795,12.8,24.5,成、过熟林,9马尾松 1其它软阔类,针叶林,马尾松林
43-433162-N-00732,112.80207116219526,27.586363602408653,人天混,0.8,2595,9.55,8.1,近熟林,4其它硬阔类 3其它软阔类 2杉木 2栎类,阔叶林,其他难燃阔叶林
43-423226-Y-02976,112.05650110687458,27.865150750095914,人工,0.6,930,8.1,18.6,近熟林,7湿地松 2马尾松 1其它软阔类,针叶林,湿地松林
43-423226-Y-03091,112.54263926370817,27.788592027674202,人工,0.45,780,12.2,21,近熟林,8湿地松 1樟木 1其它,针叶林,湿地松林
43-422263-Y-03453,112.41775208435854,27.537097528921443,人工,0.55,1230,7.3,11.2,中龄林,6杉木 4樟木,针阔混交林,针叶针阔混交林
43-422231-Y-03452,112.33701078295813,27.538114049738965,人工,0.41,495,9.1,10.4,中龄林,9杉木 1阔叶混,针叶林,杉木林
43-412263-Y-02925,112.34139592022596,27.898728631792544,天然,0.55,3330,6,9.8,中龄林,5栎类 4马尾松 1枫香 1其它软阔类,针阔混交林,针叶针阔混交林
43-422261-Y-02765,112.7896751819751,28.002001057174784,人工,0.67,2010,10.8,13.7,中龄林,6湿地松 3杉木 1其它硬阔类,针叶林,湿地松林
43-412162-Y-02651,112.79139621890768,28.07400433617495,天然,0.75,2010,11.2,12.6,中龄林,4栎类 3樟木 2枫香 2其它硬阔类,阔叶林,栎类林
43-412244-N-00663,112.76622649456525,27.875515199517007,天然,0.5,405,15.2,33.5,中龄林,8樟木 1檫木 1楝树,阔叶林,樟木林
43-422131-Y-02930,112.74741009793962,27.894557749066934,人工,0.75,5730,9,8.8,中龄林,10杉木,针叶林,杉木林
43-422263-N-00625,112.80862753760329,27.98322030853102,人工,0.55,2190,10.6,11.2,中龄林,5杉木 4樟木 1泡桐 1其它硬阔类,针阔混交林,针叶针阔混交林
43-412262-N-00626,112.88990433742252,27.982127259550495,天然,0.5,2445,11.5,10.7,中龄林,5樟木 3杉木 1栎类 1其它硬阔类,针阔混交林,阔叶针阔混交林
43-422131-N-00717,112.64116903069726,27.660535567465104,人工,0.81,1650,7.1,11.7,中龄林,8杉木 1泡桐 1檵木 1其它硬阔类,针叶林,杉木林
43-422231-Y-03675,112.82026066196693,27.38819541429814,人工,0.65,2595,10.2,14.4,中龄林,8杉木 1栎类 1其它硬阔类,针叶林,杉木林
43-421231-Y-03560,112.49778169805757,27.464320670963446,人工,0.61,1245,7.1,9.7,幼龄林,7杉木 2其它软阔类 1栎类,针叶林,杉木林
43-411141-Y-03356,112.90490166387269,27.603537601528046,天然,0.75,480,8.3,9,幼龄林,8栎类 2枫香,阔叶林,栎类林
43-432263-N-00650,112.44187052277051,27.91537798545748,人天混,0.5,1050,10.8,13.5,中龄林,4杉木 3硬阔 2樟木 1软阔,针阔混交林,针叶针阔混交林
43-432262-N-00637,112.56425064935065,27.950130075645635,人天混,0.6,2640,8.3,11.1,中龄林,5樟木 3杉木 2栎类 1其它硬阔类,针阔混交林,阔叶针阔混交林
43-422231-Y-02876,112.78900705221581,27.92947813903962,人工,0.69,6240,10.8,9.7,中龄林,10杉木,针叶林,杉木林
43-422163-Y-02825,113.07363097323218,27.961937811388196,人工,0.7,1770,8.7,11.4,中龄林,6杉木 3栎类 1樟木 1泡桐,针阔混交林,针叶针阔混交林
43-412262-Y-03244,112.17636389076883,27.683756867444952,天然,0.41,1110,7.8,8.5,中龄林,2檵2其它软阔1漆1栎1其它硬阔3马尾松,针阔混交林,针叶针阔混交林
43-422262-Y-02924,112.25985731617351,27.899732668713078,人工,0.5,840,12.3,17.4,中龄林,6枫香 2国外松 1马尾松 1樟木,针阔混交林,针叶针阔混交林
43-422348-Y-03087,112.2183074646013,27.791444322579746,人工,0.35,465,7.7,13.5,中龄林,7枫香 1桃 1乌桕 1楝树,阔叶林,枫香林
43-413266-Y-03351,112.49995715446227,27.60824390307909,天然,0.55,1845,13.7,10.6,近熟林,10毛竹 ,竹、灌,竹、灌
43-422222-N-00679,112.19693602462885,27.809451124060548,人工,0.6,1710,9.7,12,中龄林,9马尾松 1其它,针叶林,马尾松林
43-422222-Y-03089,112.38066340579435,27.79018819318578,人工,0.55,1740,9.2,11.8,中龄林,9马尾松 1其它,针叶林,马尾松林
43-423222-N-00707,112.31738701537917,27.700082846771203,人工,0.5,1380,6.7,14.1,近熟林,8马尾松 1栎类 1樟木,针叶林,马尾松林
43-412262-Y-03197,112.54190579730839,27.716386198837707,天然,0.65,1875,7.8,11.3,中龄林,6樟木 2杉木 1泡桐 1栎类,阔叶林,樟木林
43-412262-Y-02978,112.21910009020154,27.86423365932992,天然,0.6,1080,7.5,19.7,中龄林,3樟木 2漆树 3其它硬阔类 1杉木1枫香,阔叶林,其他难燃阔叶林
43-412262-N-00681,112.4810192286105,27.80669671401277,天然,0.65,510,10.3,9.1,中龄林,5栎类 2楝树 3其它软阔类,阔叶林,栎类林
43-412262-N-00662,112.11650138422908,27.882308166114267,天然,0.55,855,8.2,10.8,中龄林,3枫香 3马尾松 2木荷 2栎类,针阔混交林,针叶针阔混交林
43-412261-Y-03505,112.37663311651187,27.495286863728463,天然,0.55,1965,8.2,11.5,中龄林,6马尾松 3杉木 1其它硬阔类,针叶林,马尾松林
43-412244-Y-03144,112.50150784732524,27.75282954132834,天然,0.55,825,12.8,16.3,中龄林,10樟木,阔叶林,樟木林
43-412222-Y-02982,112.54383715911464,27.860376950662445,天然,0.5,975,8.1,13.5,中龄林,9马尾松 1阔叶,针叶林,马尾松林
43-412222-Y-02704,112.42456943629438,28.042628919107855,天然,0.55,1275,12,21.5,中龄林,7马尾松1杉木2阔叶,针叶林,马尾松林
43-412166-Y-03299,112.45999289438097,27.645049179009924,天然,0.85,5010,12.5,8.9,中龄林,10毛竹 ,竹、灌,竹、灌
43-410299-Y-03140,112.17715851511375,27.75589850861384,天然,0.5,,1.04,1.3,中龄林,10其他灌木,竹、灌,竹、灌
43-422231-Y-03246,112.33862395503071,27.682581841531423,人工,0.6,4560,7.1,9.5,中龄林,9杉木 1其它,针叶林,杉木林
43-422231-Y-02761,112.46492877795454,28.00577318689102,人工,0.55,1920,9,11,中龄林,8杉木1马尾松1其它,针叶林,杉木林
43-422222-Y-03090,112.46195973730686,27.789586519073094,人工,0.6,1590,11.7,11.1,中龄林,7马尾松 2火炬松 1湿地松,针叶林,马尾松林
43-422222-N-00680,112.23752174091338,27.80909339618736,人工,0.6,1845,6.5,12.9,中龄林,8马尾松 1檵木 1栎类,针叶林,马尾松林
43-422222-N-00635,112.27980267913404,27.95306911516886,人工,0.68,3120,8.6,11.1,中龄林,7马尾松 1枫香 1杉木 1其它,针叶林,马尾松林
43-422131-Y-03036,112.50314918737497,27.824999075350544,人工,0.75,5595,7,8.1,中龄林,8杉木 1樟木 1木荷,针叶林,杉木林
43-413266-Y-03401,112.37784149050597,27.573626343363536,天然,0.55,2355,11.5,8.5,近熟林,10毛竹,竹、灌,竹、灌
43-412263-Y-03248,112.50062001998236,27.68058795180561,天然,0.65,1590,8.3,11.5,中龄林,5栎类 4马尾松 1其它硬阔类,针阔混交林,针叶针阔混交林
43-411244-Y-02873,112.544873,27.93272,天然,0.5,1770,8.3,11.5,幼龄林,9樟木 1其它硬阔类,阔叶林,樟木林
43-413163-Y-03198,112.62340951889382,27.714615180560884,天然,0.74,1590,10.4,13.8,近熟林,6栎类 2杉木 2马尾松 1枫香,阔叶林,栎类林
43-422162-Y-02984,112.70635877502434,27.85905764165517,人工,0.73,2430,10.7,18.4,中龄林,6樟木 4其它硬阔类,阔叶林,樟木林
43-411144-Y-03094,112.78659003537712,27.785887561134757,天然,0.8,3165,14.4,12.7,幼龄林,9樟木 1杉木,阔叶林,樟木林
43-412244-Y-03150,112.98844229222891,27.746621990676772,天然,0.55,780,11.6,20.9,中龄林,7樟木 3其它硬阔类,阔叶林,樟木林
43-433262-N-00716,112.60064539894518,27.661009571747343,人天混,0.45,1185,15.3,18.5,近熟林,6樟木 2杉木 1其它硬阔类 1马尾松,针阔混交林,阔叶针阔混交林
43-433163-Y-03402,112.45863216764599,27.572936734952577,人天混,0.72,975,10.2,12.7,近熟林,4杉木 3樟木 2枫桦 1栎类,针阔混交林,针叶针阔混交林
43-432163-Y-03405,112.70236863544085,27.569811321490306,人天混,0.72,1425,12.4,22.9,中龄林,5国外松 3樟木 1马尾松 1杉木,针阔混交林,针叶针阔混交林
43-431261-N-00636,112.52361791412247,27.95058590499814,人天混,0.6,1920,7.4,11.6,幼龄林,3杉木 3马尾松 2其它硬阔类 2樟木,针阔混交林,针叶针阔混交林
43-412245-Y-02872,112.46332835027302,27.933883650628562,天然,0.5,1050,9.5,11.4,中龄林,9楠木 1其它硬阔类,阔叶林,其他难燃阔叶林
43-423222-Y-02818,112.504601,27.969495,人工,0.6,1515,10.3,18.9,近熟林,8马尾松 1枫香 1其它硬阔类 1樟木,针叶林,马尾松林
43-421161-Y-02812,112.016735,27.975149,人工,0.75,3360,9.6,10.6,幼龄林,6杉木 4马尾松 ,针叶林,杉木林
43-424132-Y-02410,111.977172,28.225835,人工,0.75,3105,7.5,13.3,成、过熟林,9柳杉 1杉木 ,针叶林,杉木林
43-422231-Y-02357,112.427233,28.258678,人工,0.6,1230,10.2,11,中龄林,7杉木 3樟木,针叶林,杉木林
43-412244-Y-02183,112.79653191359279,28.36131968216997,天然,0.65,1260,12.8,16.7,中龄林,10樟木 ,阔叶林,樟木林
43-412262-Y-01895,113.98330617608002,28.52183383640296,天然,0.51,1110,15.8,17.5,中龄林,6木荷 3其它硬阔类 1马尾松,阔叶林,其他难燃阔叶林
43-412166-Y-02003,113.00221901962703,28.46785116802948,天然,0.75,4575,13.4,8.7,壮龄竹,10毛竹 ,竹、灌,竹、灌
43-412262-Y-02123,112.91839809226029,28.3968870975004,天然,0.65,555,11.2,14,中龄林,3泡桐 3杉木 3其它硬阔类 1棕榈 ,针阔混交林,针叶针阔混交林
43-412162-Y-01886,113.24817745910674,28.536365264586994,天然,0.85,2025,9.4,12.5,中龄林,6栎类 2其它硬阔类 1马尾松 1杉木 ,阔叶林,栎类林
43-411241-Y-02774,113.5206187,27.99030619,天然,0.61,2460,6.4,8.4,幼龄林,8栎类 1其它硬阔类 1杉木,阔叶林,栎类林
43-412161-Y-01887,113.3301200103514,28.534767237529977,天然,0.7,2160,12.8,12.1,中龄林,5马尾松 3杉木 1樟木 1其它硬阔类 ,针叶林,马尾松林
43-412163-Y-02250,113.32515702239785,28.31894347767049,天然,0.75,1845,6.3,7,中龄林,5栎类 4马尾松 1其它硬阔类,针阔混交林,针叶针阔混交林
43-414263-Y-02189,113.28515701647873,28.355557204074216,天然,0.6,1350,9.3,13.9,成、过熟林,5其它硬阔类 4马尾松 1杉木,针阔混交林,针叶针阔混交林
43-423122-Y-02815,112.26093,27.971574,人工,0.7,1260,7.8,11.6,近熟林,7马尾松 3杉木,针叶林,马尾松林
43-413222-Y-02702,112.261829,28.044088,天然,0.65,1875,10.4,15.8,近熟林,9马尾松 1杉木 ,针叶林,马尾松林
43-422144-Y-02303,112.79810220921607,28.292318673434288,人工,0.71,1440,15.1,17.6,中龄林,9樟木 1杉木 ,阔叶林,樟木林
43-412266-Y-02601,113.4019614,28.10089031,天然,0.65,3030,10,9.5,中龄林,10毛竹,竹、灌,竹、灌
43-412263-N-00414,113.26677878059556,28.48171684057716,天然,0.65,3225,9.5,10.3,中龄林,6马尾松 3其它硬阔类 1杨桐 ,针阔混交林,针叶针阔混交林
43-412122-Y-01888,113.41171361513658,28.533138337422994,天然,0.75,2730,7.8,9.4,中龄林,8马尾松 2栎类,针叶林,马尾松林
43-413222-Y-02758,112.220633,28.008538,天然,0.45,720,13,18.2,近熟林,10马尾松 ,针叶林,马尾松林
43-431263-Y-02418,112.630887,28.220687,人天混,0.6,2460,8.6,9.6,幼龄林,4杉木 3樟木 2马尾松 1油茶,针阔混交林,针叶针阔混交林
43-412144-Y-02187,113.12283849298153,28.357659945492202,天然,0.8,2340,12.8,11.7,中龄林,7樟木 3杉木,阔叶林,樟木林
43-422122-Y-02757,112.140509,28.009019,人工,0.7,1425,14.2,17.5,中龄林,10马尾松,针叶林,马尾松林
43-412263-N-00433,112.98000634426491,28.450490617228336,天然,0.65,1290,12.1,13.4,中龄林,4杉木 4樟木 1湿地松 1油桐 ,针阔混交林,针叶针阔混交林
43-413262-Y-02188,113.20425886613953,28.35745521210638,天然,0.65,1965,10.3,8.9,近熟林,6栎类 3马尾松 1其它硬阔类 ,阔叶林,栎类林
43-412362-Y-02549,113.85023849289857,28.129019926400552,天然,0.35,1065,9.6,13.7,中龄林,6其它硬阔类 2栎类  2杉木,阔叶林,其他难燃阔叶林
43-412126-N-00412,112.85771543151033,28.48770105876192,天然,0.75,1905,10.8,16,中龄林,8湿地松 2栎类 ,针叶林,湿地松林
43-422122-N-00378,113.43205027112798,28.586930996222762,人工,0.71,2460,9.3,9.7,中龄林,8马尾松 2杉木 ,针叶林,马尾松林
43-422226-Y-02643,112.688207,27.947903,人工,0.65,1830,9.6,14.6,中龄林,10湿地松,针叶林,湿地松林
43-413262-N-00415,113.38855316998468,28.4792987557947,天然,0.55,2955,8.8,7.9,近熟林,4其它硬阔类 2樟木 2檵木 2泡桐,阔叶林,其他难燃阔叶林
43-422262-Y-02598,113.15744368567617,28.10497928523514,人工,0.6,1095,4.1,10.4,中龄林,6桂花 4樟木,针阔混交林,阔叶针阔混交林
43-412261-N-00569,113.38068686404151,28.118181999028923,天然,0.55,1590,12.2,12.3,中龄林,5马尾松 4杉木 1其它硬阔类 ,针叶林,马尾松林
43-412141-Y-02470,112.09996,28.189566,天然,0.75,3060,8.8,10.7,中龄林,9栎类 1其它硬阔类 ,阔叶林,栎类林
43-422222-N-00435,113.06243884877247,28.44923592894214,人工,0.55,2010,7.3,9.4,中龄林,10马尾松 ,针叶林,马尾松林
43-412263-Y-02413,112.222939,28.224301,天然,0.65,2490,11.2,12.5,中龄林,6马尾松 4其他阔叶树,针阔混交林,针叶针阔混交林
43-422262-Y-02593,112.75100876315287,28.110806808606334,人工,0.5,1290,8.8,13.2,中龄林,3桂花 3栎类 3樟木 1枫香,阔叶林,其他难燃阔叶林
43-422231-N-00555,112.679665,28.164965,人工,0.66,2220,8.9,11.5,中龄林,8杉木 1樟木 1其它硬阔类,针叶林,杉木林
43-411162-N-00470,113.71238926068915,28.365146142158633,天然,0.7,690,5.6,9.9,幼龄林,5木荷 3其它灌木 1油茶 1杉木 ,针阔混交林,阔叶针阔混交林
43-412263-Y-02013,113.81812142121193,28.45353332092256,天然,0.61,1230,11,11,中龄林,5杉木 2栎类 2檫木 1其它硬阔类 ,针阔混交林,针叶针阔混交林
43-422248-Y-01942,112.9607373550795,28.50487015592255,人工,0.51,645,14.6,14.7,中龄林,8枫香 1马尾松 1樟木 ,阔叶林,枫香林
43-411162-Y-02353,112.098585,28.263171,天然,0.7,2130,8.4,10.6,幼龄林,4其它硬阔类 3其它软阔类 2檫木 1刺槐,阔叶林,其他难燃阔叶林
43-411262-Y-02471,112.181967,28.188799,天然,0.65,1455,7.8,8,幼龄林,6其它硬阔类 3栎类 1樟木,阔叶林,其他难燃阔叶林
43-423261-Y-02068,113.3685239,28.42616571,人工,0.61,2175,7.8,12.5,近熟林,6杉木 2其它软阔类 1栎类 1马尾松 ,针阔混交林,针叶针阔混交林
43-412263-Y-02076,114.02059788114624,28.41346571514192,天然,0.51,510,10.5,15.8,中龄林,5杉木 5其它硬阔类 ,针阔混交林,针叶针阔混交林
43-413262-Y-02435,114.01459609214523,28.196826780549483,天然,0.51,1740,13,15.3,近熟林,6栎类 2木荷 1杉木 1其它硬阔类 ,阔叶林,栎类林
43-422263-N-00434,113.01938431253602,28.449413461827024,人工,0.55,2010,9.8,14,中龄林,4马尾松 4其它硬阔类 2樟木,针阔混交林,针叶针阔混交林
43-412222-Y-02755,111.9765392789646,28.010254247035903,天然,0.65,1905,9.1,14.9,中龄林,7马尾松 3杉木,针叶林,马尾松林
43-422263-Y-02260,114.13948696813203,28.301921005105665,人工,0.41,1560,10.8,11.1,中龄林,6杉木 2木荷 1杨梅 1其它硬阔类,针阔混交林,针叶针阔混交林
43-422263-Y-01954,113.94048802750373,28.487387997936466,人工,0.51,1650,13,13.4,中龄林,6其它硬阔类 4杉木,针阔混交林,针叶针阔混交林
43-422331-Y-02777,113.7645416,27.9862337,人工,0.35,810,7.6,10.4,中龄林,10杉木 ,针叶林,杉木林
43-412262-Y-02492,113.891394,28.16363355,天然,0.55,1710,8.6,8.5,中龄林,5栎类 2杉木 2其它软阔类 1杜鹃 ,阔叶林,栎类林
43-412262-Y-02200,114.18154895378416,28.337186204274545,天然,0.51,825,7.9,12.2,中龄林,6其它硬阔类 2檵木 1栎类 1木荷 ,阔叶林,其他难燃阔叶林
43-422263-Y-02313,113.6152322,28.27119277,人工,0.55,2640,8.1,8.7,中龄林,6杉木 2栎类 1枣 1其它,针阔混交林,针叶针阔混交林
43-422262-Y-02136,113.97866139281118,28.378059975891965,人工,0.51,1395,7.2,13.7,中龄林,4其它硬阔类 2杉木 2栎类 2枫香,阔叶林,其他难燃阔叶林
43-422166-Y-02138,114.14231089034438,28.374039858157172,人工,0.7,3195,10,10,壮龄竹,10毛竹 ,竹、灌,竹、灌
43-413122-Y-01945,113.2069134683848,28.50061149493907,天然,0.7,1845,12.5,15.6,近熟林,9马尾松 1栎类,针叶林,马尾松林
43-422263-Y-02362,112.834805815104,28.25425637434944,人工,0.65,2115,12.2,12.7,中龄林,6杉木 3樟木 1檫木 ,针阔混交林,针叶针阔混交林
43-412263-N-00502,113.18092137534306,28.302537494423852,天然,0.6,1920,9.8,13,中龄林,5杉木 4樟木 1其它硬阔类,针阔混交林,针叶针阔混交林
43-412241-Y-02819,112.5859361274504,27.968343035602686,天然,0.5,450,13.8,22.5,中龄林,7栎类 3樟木 ,阔叶林,栎类林
43-412262-Y-02017,114.14430674557224,28.446731492182426,天然,0.51,525,12,20,中龄林,5枫香 2楠木 2其它硬阔类 1杉木,阔叶林,枫香林
43-413222-N-00436,113.14300661111925,28.447475420937092,天然,0.65,1905,12.8,15.2,近熟林,7马尾松 2枫香 1杨桐,针叶林,马尾松林
43-412222-N-00390,113.22659565789752,28.55508570192545,天然,0.69,2805,10.5,13.6,中龄林,7马尾松 1杉木 2其它硬阔类,针叶林,马尾松林
